window_size,data_type,experiment,lstm_units,dropout,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,epochs_trained
3,normalized,baseline,50,0.2,3.5553067362910378,2.5557809845895503,0.5578861156666366,5.320307286271107,4.714714106807008,0.13343066641931,6.102474771647585,4.1525706028793845,-0.7553103371594578,100
3,normalized,more_units,100,0.2,3.428830883607717,2.4954730663877567,0.5887819840909614,5.193098076303318,4.549090124059613,0.17437481531102939,5.9929551680002895,3.9977310864997717,-0.6928714579552473,100
3,raw,baseline,50,0.2,57.28054262889012,57.03055226378007,-113.76098030919849,80.04551766736995,79.84130833887171,-195.1570483632721,82.41601870038271,82.2872027282715,-319.1586110979053,100
3,raw,more_units,100,0.2,39.964041780434684,39.60498719440806,-54.86229978702141,62.672432904827346,62.41147905929001,-119.2494201401596,65.01940232625928,64.856040674383,-198.2635536286966,100
6,normalized,baseline,50,0.2,5.313058698242464,4.5707046252053924,0.11312781533017002,11.274567344557596,10.580888104474102,-4.173633627652309,8.703221966588814,7.944297432454438,-2.268503479446213,25
6,normalized,more_units,100,0.2,5.553756450911409,4.583903406536772,0.030951602764819564,7.376850389318656,6.206057746039499,-1.214817017910855,4.910189128408946,3.3486906168619965,-0.040363896683923484,21
6,raw,baseline,50,0.2,59.13378068507976,58.86406051829505,-108.8608863877958,82.09768601434283,81.94791644682707,-273.3201650564916,83.62474057196145,83.4860614049276,-300.7577263427448,100
6,raw,more_units,100,0.2,43.24245474560738,42.87284958079505,-57.747918723276264,66.14367313667073,65.95767550207067,-177.06252118706462,67.66761070811825,67.49615337727866,-196.583428056905,100
12,normalized,baseline,50,0.2,6.216588807365009,5.16026630655925,0.09924735376171401,9.41654298312002,8.327166419982907,-7.812499934942743,5.480552815042935,3.4667414256908415,-0.17658757363522293,24
12,normalized,more_units,100,0.2,6.133551839349826,4.8623419146621485,0.12314992652533807,6.396588243445582,5.5857669906616305,-3.0664265436199454,7.631679009149404,6.4878533279984,-1.281474997460545,19
12,raw,baseline,50,0.2,60.31472345327681,59.958095508106965,-83.79064601384528,83.44660910223465,83.38629947280884,-691.043713170938,83.38216425984388,83.2289375418204,-271.3465320947301,100
12,raw,more_units,100,0.2,43.634695573939375,43.1402720478794,-43.377738129796235,66.64687725584196,66.5713470993042,-440.4441349815396,66.60592797759999,66.41401478520147,-172.7805988799396,100
